ds,yhat,yhat_lower,yhat_upper
2025-05-28,26.24696830206501,18.094384518399966,34.55198602369792
2025-05-29,35.33598214087973,27.23188864382144,43.3732989580516
2025-05-30,35.65368829119722,26.95589616318412,43.542833889469335
2025-05-31,25.04659038254099,16.620730060753477,32.840988365340266
2025-06-01,25.08427723608208,17.008807707264083,33.56238640432914
2025-06-02,36.72691126215225,28.23227947645914,45.29300801624398
2025-06-03,36.768304601224386,28.25478053906259,45.131315943501015
2025-06-04,28.68835831424984,20.534740517489066,36.31026034317438
2025-06-05,37.77736487100705,28.90647769810602,45.89938915800976
2025-06-06,38.0950637391199,29.70942248620972,46.782576643124465
2025-06-07,27.487954373915507,20.06171837586027,36.04809971310734
2025-06-08,27.525629770445924,19.268844219260462,35.20295888303464
2025-06-09,39.168252339432506,31.340018681334495,48.06079525548262
2025-06-10,39.20963422165868,30.467504886192987,47.137864721576236
2025-06-11,31.12967647787193,22.564310333040552,38.86074780085832
2025-06-12,40.21867885891253,31.715639448940383,48.838896665437325
2025-06-13,40.53637355207374,32.90439896215188,48.918739550448414
2025-06-14,29.929264187315443,21.192443791331016,37.9552766398148
2025-06-15,29.966939585619837,22.436524081897357,38.05785806476971
2025-06-16,41.60956215610031,33.13100921696185,49.66326882515469
2025-06-17,41.65094404010286,33.16887098646251,50.085509267401434
2025-06-18,33.570986297637894,24.7674529937345,41.42884890449522
2025-06-19,42.65998867952823,34.922206036180945,51.38784236914323
2025-06-20,42.977683373170485,34.37151527584214,50.88757128066237
2025-06-21,32.37057400854058,24.043558137372763,40.80396540924665
2025-06-22,32.4082494064917,23.95331213825083,40.311194454929144
2025-06-23,44.05087197697356,36.0030295395221,52.71145303692373
2025-06-24,44.092253860959836,36.11273413034361,52.25137016844047
2025-06-25,36.01229611849949,26.630682601972396,43.69810320837352
2025-06-26,45.10129850036026,36.927990335592035,53.4135933752176
2025-06-27,45.418993194033675,36.824501172505656,53.43488988423656
